Catalog Number,Kind of Object,Scientific Name,Family,Phylum,Class,Order,Identified By,Date Identified,Current Identification,Other Identifications,Type Status,Type Citations,Kind of Voucher,Classification,Common Name,Collection Name,Specimen Count,Sex and Stage,Preparation Details (Preparation:Remarks),Station Number,Collector(s),Date Collected,Collection Method,Ocean,Sea/Gulf,Bay/Sound,Country,Province/State,District/County,City/Town,Precise Locality,Centroid Latitude,Centroid Longitude,Elevation (m),Expedition Name,Vessel,Cruise,River Basin,Microhabitat Description,Depth (m),Depth Notes,Geologic Age,Notes,Field Number(s),Other Numbers (Type : Value),Accession Number,Genetic Sample Type,Biorepository Number,Specimen Voucher Number,Bold ID,GenBank Numbers,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
"USNM 1574856","Specimen/Lot","Antillogorgia bipinnata (Verrill, 1864)","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Antillogorgia bipinnata (Verrill, 1864) : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","Leptogorgia near barbadensis (Bayer, 1961)","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","","Forbes, M.","10 Sep 1966","","North Atlantic Ocean","","","Bahamas","","","","Eleuthera Island, 0.5 miles South of Powell Point","","","","","","","","","18","","","","","","","","","","","","","","","12 Jul 2019 20:41:00","http://n2t.net/ark:/65665/39b950d21-4293-4c07-938d-c7d7e47c9704"
"USNM 50266","Specimen/Lot","Eunicea succinea (Pallas, 1766)","Plexauridae","Cnidaria","Anthozoa","Gorgonacea","Sanchez, Juan A., Universidad de Los Andes (COLOMBIA)","2008","Eunicea succinea (Pallas, 1766) : Plexauridae : Gorgonacea : Anthozoa : Cnidaria","Leptogorgia succinea hummelincki Verrill","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Plexauridae, Plexaurinae","Octocorals","",1,"","Dry","8","Shoemaker, C. R.","10 Jul 1915","","North Atlantic Ocean","Caribbean Sea","","Virgin Islands of the United States","","","","St. John Island","","","","","","","","","5","","","","","","058705","","","","","","","","","14 Jan 2013 18:23:00","http://n2t.net/ark:/65665/32652b835-370d-425a-a467-651afc37ae72"
"USNM 1199270","Specimen/Lot","Leptogorgia ? sp.","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Coffer, Timothy Edward, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)","28 Jan 2013","Leptogorgia sp. : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","","Birkeland, C. E.","21 Mar 1971","","North Pacific Ocean","Gulf of Chiriqui","","Panama","","","","Naranja Island, near base of rock reef on rock wall","","","","Smithsonian STRI Panama Survey","","","","","12","","","","","specimen number : P24","296348","","","","","","","","","15 Aug 2016 17:58:00","http://n2t.net/ark:/65665/3e6d57788-3cda-4f6a-9392-f8d73447e04e"
"USNM 1199272","Specimen/Lot","Leptogorgia ? sp.","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Coffer, Timothy Edward, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)","28 Jan 2013","Leptogorgia sp. : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",3,"","Dry","","Birkeland, C. E.","21 Mar 1971","","North Pacific Ocean","Gulf of Chiriqui","","Panama","","","","Naranja Island, near base of rock reef on rock wall","","","","Smithsonian STRI Panama Survey","","","","","12","","","","","specimen number : P27","296348","","","","","","","","","15 Aug 2016 17:58:00","http://n2t.net/ark:/65665/3de7cce21-8f38-4c22-a72d-24199e0acbc9"
"USNM 1199282","Specimen/Lot","Leptogorgia ? sp.","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Coffer, Timothy Edward, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)","28 Jan 2013","Leptogorgia sp. : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","P44","","23 Aug 1971","","North Pacific Ocean","Gulf of Panama","","Panama","","","","Perlas Archipelago, Monte Island",8.33,-70.12,"","Smithsonian STRI Panama Survey","","","","","5","","","","","specimen number : P4","296348","","","","","","","","","30 Sep 2016 15:16:00","http://n2t.net/ark:/65665/322005d9a-6611-47cc-91aa-1628ed38cc9b"
"USNM 50537","Specimen/Lot","Leptogorgia acuta Bielschowsky, 1918","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Leptogorgia acuta Bielschowsky, 1918 : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",3,"","Dry","","Berry, S. S.","1949","","North Pacific Ocean","Gulf of California","","Mexico","Sonora","","","Adair Bay, Cholla Cove, From Runnels Of Outer Reefs",31.32,-113.65,"","","","","","","","Intertidal","","","","","211050","","","","","","","","","13 Dec 2018 15:32:00","http://n2t.net/ark:/65665/3505272a9-6535-4b43-bca5-ba230647fec1"
"USNM 12583","Specimen/Lot","Leptogorgia alba (Duchassaing & Michelotti, 1864)","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Verrill, Addison E., Peabody Museum, Yale","","Leptogorgia alba (Duchassaing & Michelotti, 1864) : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","","Duges, A.","","","North Pacific Ocean","","","Mexico","","","","Along Coast","","","","","","","","","","","","","","","016268","","","","","","","","","14 Jan 2013 18:16:00","http://n2t.net/ark:/65665/394466b07-0d61-4bc4-819f-e00cae08c676"
"USNM 17554","Specimen/Lot","Leptogorgia alba (Duchassaing & Michelotti, 1864)","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Cary, L. R.","","Leptogorgia alba (Duchassaing & Michelotti, 1864) : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","","Duges, A.","24 Aug 1891","","North Pacific Ocean","","","Mexico","","","","","","","","","","","","","","","","","","","020097","","","","","","","","","26 Jul 2013 15:46:00","http://n2t.net/ark:/65665/35266efee-edb8-486c-a09c-c91a5dbf18bc"
"USNM 33610","Specimen/Lot","Leptogorgia alba (Duchassaing & Michelotti, 1864)","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Verrill, Addison E., Peabody Museum, Yale","","Leptogorgia alba (Duchassaing & Michelotti, 1864) : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","","","","","North Pacific Ocean","","","Mexico","Guerrero","","","Acapulco","","","","","","","","","","","","","","","000000","","","","","","","","","14 Jan 2013 18:16:00","http://n2t.net/ark:/65665/31f6cd11d-18b7-40b3-8d5e-5b552e8ed062"
"USNM 34060","Specimen/Lot","Leptogorgia alba (Duchassaing & Michelotti, 1864)","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Cash, L. C.","","Leptogorgia alba (Duchassaing & Michelotti, 1864) : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","","","","","North Pacific Ocean","Gulf of Panama","","Panama","","","","Panama Bay","","","","","","","","","","","","","","","056846","","","","","","","","","14 Jan 2013 18:16:00","http://n2t.net/ark:/65665/3cb1c8e26-9e06-4002-8a09-7604e80dfde5"
"USNM 44210","Specimen/Lot","Leptogorgia alba (Duchassaing & Michelotti, 1864)","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Deichmann, Elizabeth","","Leptogorgia alba (Duchassaing & Michelotti, 1864) : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","","Valerio, M.","20 Feb 1931","","North Pacific Ocean","Gulf of Nicoya","","Costa Rica","","","","","","","","","","","","","","","","","","","117001","","","","","","","","","14 Jan 2013 18:16:00","http://n2t.net/ark:/65665/39eecfde4-5dfb-4637-88ab-7dcb9b37a9d7"
"USNM 49362","Specimen/Lot","Leptogorgia alba (Duchassaing & Michelotti, 1864)","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Leptogorgia alba (Duchassaing & Michelotti, 1864) : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",2,"","Dry","24","Galtsoff, P. S.","11 Mar 1948","","North Pacific Ocean","","","Panama","","","","Punta Pajaron",7.92,-81.63,"","","","","","","","Intertidal","","Abundantly inhabited by Ophiothela sp., 7 of which have been removed and cataloged as USNM 1202684.","","removed to : 1202684","179817","","","","","","","","","26 Oct 2021 17:54:00","http://n2t.net/ark:/65665/3199063b6-cba3-4a48-b0e9-9235d4324369"
"USNM 49363","Specimen/Lot","Leptogorgia alba (Duchassaing & Michelotti, 1864)","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Leptogorgia alba (Duchassaing & Michelotti, 1864) : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",2,"","Dry; SEM Stub:Bayer 2839","24","Galtsoff, P. S.","11 Mar 1948","","North Pacific Ocean","","","Panama","","","","Punta Pajaron",7.92,-81.63,"","","","","","","","Intertidal","","","","","179817","","","","","","","","","23 Aug 2024 20:15:00","http://n2t.net/ark:/65665/32fe47aa4-6be5-4e89-b114-4d805aee19e7"
"USNM 49380","Specimen/Lot","Leptogorgia alba (Duchassaing & Michelotti, 1864)","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Leptogorgia alba (Duchassaing & Michelotti, 1864) : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","8","Valerio, M.","Mar 1927","","North Pacific Ocean","Gulf of Nicoya","","Costa Rica","","","","","","","","","","","","","","","","","","","097792","","","","","","","","","14 Jan 2013 18:16:00","http://n2t.net/ark:/65665/32462d3c2-9a68-4cf8-90f8-2462ed73b77e"
"USNM 60393","Specimen/Lot","Leptogorgia alba (Duchassaing & Michelotti, 1864)","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","1981","Leptogorgia alba (Duchassaing & Michelotti, 1864) : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","","Froidefond, J.","1 Sep 1987","","North Pacific Ocean","","","Colombia","Valle del Cauca","","","Pianguita","","","","","","","","","","Intertidal","","","","","348211","","","","","","","","","14 Jan 2013 18:16:00","http://n2t.net/ark:/65665/30182a101-9933-4ca8-a397-16caa5f7dd77"
"USNM 79464","Specimen/Lot","Leptogorgia alba (Duchassaing & Michelotti, 1864)","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Leptogorgia alba (Duchassaing & Michelotti, 1864) : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","","Von Prahl, H.","2 Feb 1982","","North Pacific Ocean","","","Colombia","","","","Gorgona Island, Between Gorgona And Gorgonilla","","","","","","","","","2","","","","","","354572","","","","","","","","","17 Oct 2014 21:59:00","http://n2t.net/ark:/65665/3b8029394-a5fa-4877-8eb7-2d50b1a67cf7"
"USNM 1001279","Specimen/Lot","Leptogorgia alba (Duchassaing & Michelotti, 1864)","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","","","Leptogorgia alba (Duchassaing & Michelotti, 1864) : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",2,"","DRY","6","","2 Mar 1972","","North Pacific Ocean","","","Colombia","","","","Malpelo Island","","","","","","","","","","","","","","","2023870","","","","","","","","","06 Apr 2017 15:12:00","http://n2t.net/ark:/65665/39b42bd73-19fa-48e4-b5d2-f7b4ab10b4a6"
"USNM 1001280","Specimen/Lot","Leptogorgia alba (Duchassaing & Michelotti, 1864)","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","","","Leptogorgia alba (Duchassaing & Michelotti, 1864) : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",5,"","DRY","1 and 2","","29 Feb 1972","","North Pacific Ocean","","","Colombia","","","","Malpelo Island","","","","","","","","","","","","","","","296348","","","","","","","","","06 Apr 2017 15:12:00","http://n2t.net/ark:/65665/33175f918-3e3a-4fbb-a82d-049a8ef008bd"
"USNM 1001281","Specimen/Lot","Leptogorgia alba (Duchassaing & Michelotti, 1864)","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","","","Leptogorgia alba (Duchassaing & Michelotti, 1864) : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",2,"","DRY","4","","1 Mar 1972","","North Pacific Ocean","","","Colombia","","","","Malpelo Island","","","","","","","","","","","","","","","2023870","","","","","","","","","06 Apr 2017 15:11:00","http://n2t.net/ark:/65665/355aae62e-8b63-4ef6-a1d8-d4f40eecf451"
"USNM 1016223","Specimen/Lot","Leptogorgia alba (Duchassaing & Michelotti, 1864)","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Deichmann, Elizabeth","","Leptogorgia alba (Duchassaing & Michelotti, 1864) : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",4,"","DRY","","Mille S.J., L.","Dec 1937","","North Pacific Ocean","","","Ecuador","","","","","","","","","","","","","","Littoral","","","1001","","151669","","","","","","","","","28 Sep 2015 13:15:00","http://n2t.net/ark:/65665/3b68d1ad9-a980-4138-8a4b-6f6ba14f2973"
"USNM 1016581","Specimen/Lot","Leptogorgia alba (Duchassaing & Michelotti, 1864)","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Leptogorgia alba (Duchassaing & Michelotti, 1864) : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","244","Ridder, C. D.","14 Aug 1976","","North Pacific Ocean","Gulf of Panama","","Panama","","","","Panama Bay, Punta Paitilla",8.97,-79.5,"","Smithsonian STRI Panama Survey","","","","","","","","","","","328304","","","","","","","","","30 Sep 2016 15:21:00","http://n2t.net/ark:/65665/3de5c1d72-c105-4606-8b87-98447b0b8710"
"USNM 1020547","Specimen/Lot","Leptogorgia alba (Duchassaing & Michelotti, 1864)","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Coffer, Timothy Edward, Smithsonian Institution, National Museum of Natural History","7 Feb 2004","Leptogorgia alba (Duchassaing & Michelotti, 1864) : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",2,"","Dry","","Hinton, L.","3 Oct 1956","","North Pacific Ocean","","","Mexico","Sinaloa","","","Mazatlan","","","","","","","","growing on rocks","0 to 6","","","","","","212431","","","","","","","","","14 Jan 2013 18:16:00","http://n2t.net/ark:/65665/37c3dfc8f-0da4-438c-a0c4-b4925e0f7844"
"USNM 1020553","Specimen/Lot","Leptogorgia alba (Duchassaing & Michelotti, 1864)","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Leptogorgia alba (Duchassaing & Michelotti, 1864) : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",30,"","Dry","","Limbaugh, C.; Baldwin, W.; Allison, E.","Oct 1956","","North Pacific Ocean","","","Mexico","Colima","","","Manzanillo","","","","","","","","","0 to 9","","","","","","212963","","","","","","","","","14 Jan 2013 18:16:00","http://n2t.net/ark:/65665/3016d8f54-b110-4fa2-a8ed-3609ad7ca87e"
"USNM 1085402","Specimen/Lot","Leptogorgia alba (Duchassaing & Michelotti, 1864)","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","10 May 1971","Leptogorgia alba (Duchassaing & Michelotti, 1864) : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",2,"","Dry","","Marti, A.","","","North Pacific Ocean","","","Panama","","","","west coast","","","","Smithsonian STRI Panama Survey","","","","","","","","","","","294109","","","","","","","","","14 Jan 2013 18:16:00","http://n2t.net/ark:/65665/30ce48a71-3552-4a59-b6ef-26406bf8602f"
"USNM 1127123","Specimen/Lot","Leptogorgia alba (Duchassaing & Michelotti, 1864)","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Leptogorgia alba (Duchassaing & Michelotti, 1864) : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","","Wolterding, M.","1978","","North Pacific Ocean","Gulf of Fonseca","","El Salvador","","","","","","","","","","","","","","","","","","","337609","","","","","","","","","14 Jan 2013 18:16:00","http://n2t.net/ark:/65665/33789ca1d-9030-4308-9d9e-c17f4d2d7394"
"USNM 1195881","Specimen/Lot","Leptogorgia alba (Duchassaing & Michelotti, 1864)","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Coffer, Timothy Edward, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)","6 Dec 2012","Leptogorgia alba (Duchassaing & Michelotti, 1864) : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",8,"","Dry","","","1 Jan 1964","","North Pacific Ocean","Gulf of Panama","","Panama","Canal Zone","","","Panama Bay, Kobbe Beach",8.9,-79.58,"","","","","","","","","","","","","332031","","","","","","","","","30 Sep 2016 15:20:00","http://n2t.net/ark:/65665/33ebf7596-b327-4b57-b5e6-ede33f7eef84"
"USNM 1197840","Specimen/Lot","Leptogorgia alba (Duchassaing & Michelotti, 1864)","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Leptogorgia alba (Duchassaing & Michelotti, 1864) : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","","Guzman, H.","","","North Pacific Ocean","","","Costa Rica","","","","Cano Island","","","","","","","","","18","","","","","specimen number : 6","","","","","","","","","","18 Jan 2013 21:52:00","http://n2t.net/ark:/65665/38d4359c6-37ee-4e1b-a43f-a0be3f44ecbb"
"USNM 1197856","Specimen/Lot","Leptogorgia alba (Duchassaing & Michelotti, 1864)","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Leptogorgia alba (Duchassaing & Michelotti, 1864) : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","","Limbaugh, C.","23 Jul 1954","","North Pacific Ocean","","","United States","California","","","La Jolla Canyon, 1/4 Mile Off Scripps Institute",33.85,-117.87,"","","","","","","46","","","","","","202730","","","","","","","","","24 May 2019 15:57:00","http://n2t.net/ark:/65665/356c5f4e1-d5d3-4d96-8ca1-045d561dbc04"
"USNM 1197897","Specimen/Lot","Leptogorgia alba (Duchassaing & Michelotti, 1864)","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Coffer, Timothy Edward, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)","17 Jan 2013","Leptogorgia alba (Duchassaing & Michelotti, 1864) : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",2,"","Dry","32","Glynn, P.; Velarde, A.; Dahl, A.; Child, C. A.","30 Apr 1971","","North Pacific Ocean","Gulf of Panama","","Panama","","","","Perlas Archipelago, Pedro Gonzales Island, west side shore",8.3783,-79.1033,"","Smithsonian STRI Panama Survey","","","","","2 to 5","","","","","","292580","","","","","","","","","08 Aug 2016 20:29:00","http://n2t.net/ark:/65665/314cf8322-4660-4553-8120-a7dac34b2a1e"
"USNM 1197909","Specimen/Lot","Leptogorgia alba (Duchassaing & Michelotti, 1864)","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Coffer, Timothy Edward, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)","17 Jan 2013","Leptogorgia alba (Duchassaing & Michelotti, 1864) : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",3,"","Dry","1567","Dawson, C. E.; Child, C. A.","12 Aug 1972","","North Pacific Ocean","Gulf of Nicoya","","Costa Rica","","","","Puntarenas, Tolinga Island","","","","","","","","","0 to 1","","","","","","300053","","","","","","","","","18 Jan 2013 21:52:00","http://n2t.net/ark:/65665/36ed89e5c-fd4f-4d7e-bf99-9c55d8834555"
"USNM 1197911","Specimen/Lot","Leptogorgia alba (Duchassaing & Michelotti, 1864)","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Coffer, Timothy Edward, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)","17 Jan 2013","Leptogorgia alba (Duchassaing & Michelotti, 1864) : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","92- 1-5","Jones, M. L.; Pawson, D. L.","18 Apr 1972","","North Pacific Ocean","Gulf of Panama","","Panama","Canal Zone","","","Panama Bay, Panama City, Whorehouse Reef",8.95,-79.52,"","Smithsonian STRI Panama Survey","","","","","","Intertidal","","","1-5","","292580","","","","","","","","","30 Sep 2016 15:23:00","http://n2t.net/ark:/65665/39d342112-4723-43bd-a70b-d15731dab7c0"
"USNM 1199285","Specimen/Lot","Leptogorgia alba (Duchassaing & Michelotti, 1864)","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Coffer, Timothy Edward, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)","28 Jan 2013","Leptogorgia alba (Duchassaing & Michelotti, 1864) : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","","Birkeland, C. E.","23 Mar 1971","","North Pacific Ocean","Gulf of Chiriqui","","Panama","","","","Contreras Islands, Brincanco Island, rock reef","","","","Smithsonian STRI Panama Survey","","","","","15","","","","","specimen number : P1","296348","","","","","","","","","01 Jul 2019 17:35:00","http://n2t.net/ark:/65665/356d63a39-4ae5-4064-81f2-c62e16f96410"
"USNM 1199287","Specimen/Lot","Leptogorgia alba (Duchassaing & Michelotti, 1864)","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Coffer, Timothy Edward, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)","28 Jan 2013","Leptogorgia alba (Duchassaing & Michelotti, 1864) : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","34","Glynn, P.","30 Apr 1971","","North Pacific Ocean","Gulf of Panama","","Panama","","","","Perlas Archipelago, East Pedro Gonzales Island, E Side Unnamed Cove, N Of Easternmost Point",8.4006,-79.87,"","Smithsonian STRI Panama Survey","","","","","2 to 5","","","","","","292580","","","","","","","","","30 Sep 2016 15:21:00","http://n2t.net/ark:/65665/3fbc32eea-09dd-401e-ba1c-6b1c832f0742"
"USNM 1199683","Specimen/Lot","Leptogorgia alba (Duchassaing & Michelotti, 1864)","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History","","Leptogorgia alba (Duchassaing & Michelotti, 1864) : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","","North, W.","Aug 1957","","North Pacific Ocean","","","Mexico","Baja California","","","Sebastian Vizcaino Bay, Punta Mala Arrimo","","","","","","","","","34","","","","","","","","","","","","","","","22 Feb 2013 16:23:00","http://n2t.net/ark:/65665/3480ea535-cbb5-48ff-9c92-fd62525bbf6d"
"USNM 1201674","Specimen/Lot","Leptogorgia alba (Duchassaing & Michelotti, 1864)","Gorgoniidae","Cnidaria","Anthozoa","Gorgonacea","Coffer, Timothy Edward, Smithsonian Institution, National Museum of Natural History","","Leptogorgia alba (Duchassaing & Michelotti, 1864) : Gorgoniidae : Gorgonacea : Anthozoa : Cnidaria","","","","","Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Gorgoniidae","Octocorals","",1,"","Dry","","Limbaugh, C.","12 Jul 1957","","North Pacific Ocean","Gulf of California","","Mexico","","","","Punta Final","","","","","","","","","2 to 12","","","","","","213947","","","","","","","","","26 Mar 2013 20:07:00","http://n2t.net/ark:/65665/30da858f1-4ee9-42c0-a4c8-c46f958d09ee"
