,source,target,Alignment,Energy_Kcal_Mol,Al_Len,Subject_Identity,Query_Identity,PCC.cor,PCC_magnitude,PCC_direction,p_value
1,Cluster_11565,FUN_029878,ptg000023l:7179758-7192972;2 21;3213 3233,-15.32,19,68.42%,73.68%,0.810153710762828,0.810153710762828,1,2.40624039029994e-10
2,Cluster_11565,FUN_029878,ptg000023l:7179758-7192972;2 21;3750 3770,-12.09,19,73.68%,78.95%,0.810153710762828,0.810153710762828,1,2.40624039029994e-10
3,Cluster_11565,FUN_029878,ptg000023l:7179758-7192972;2 20;6999 7020,-18.72,18,66.67%,83.33%,0.810153710762828,0.810153710762828,1,2.40624039029994e-10
4,Cluster_11565,FUN_030073,ptg000023l:9126565-9132875;2 21;2985 3008,-17.35,22,68.18%,77.27%,0.84795122236018,0.84795122236018,1,5.02882693838189e-12
5,Cluster_11565,FUN_038783,ptg000027l:11391264-11392308;2 17;456 476,-18.21,15,80.00%,80.00%,0.822430246130073,0.822430246130073,1,7.57556854149597e-11
6,Cluster_12081,FUN_005146,ntLink_8:31586546-31689603;2 14;29031 29050,-14.72,12,83.33%,83.33%,0.817842121289203,0.817842121289203,1,1.17862027060307e-10
7,Cluster_12081,FUN_005146,ntLink_8:31586546-31689603;2 17;31725 31743,-12.96,15,73.33%,80.00%,0.817842121289203,0.817842121289203,1,1.17862027060307e-10
8,Cluster_12081,FUN_005146,ntLink_8:31586546-31689603;2 18;97490 97508,-14.16,16,75.00%,81.25%,0.817842121289203,0.817842121289203,1,1.17862027060307e-10
9,Cluster_12081,FUN_009832,ptg000004l:12312159-12313396;2 17;1013 1036,-17.1,18,66.67%,72.22%,0.847752315124192,0.847752315124192,1,5.14589707698333e-12
10,Cluster_12081,FUN_016908,ptg000011l:8709587-8726975;2 19;588 608,-16.66,17,58.82%,82.35%,0.870380385809573,0.870380385809573,1,2.97497693849395e-13
11,Cluster_12081,FUN_016943,ptg000011l:9239516-9264162;2 19;17004 17025,-13.82,18,61.11%,72.22%,0.87371121873146,0.87371121873146,1,1.86981459387071e-13
12,Cluster_12081,FUN_016943,ptg000011l:9239516-9264162;2 20;22830 22852,-19.8,20,75.00%,80.00%,0.87371121873146,0.87371121873146,1,1.86981459387071e-13
13,Cluster_12081,FUN_026284,ptg000020l:7248728-7272228;2 9;4807 4827,-14.43,7,100.00%,100.00%,0.824127945048077,0.824127945048077,1,6.41201628419469e-11
14,Cluster_12081,FUN_027750,ptg000021l:10056995-10058048;2 20;927 947,-17.95,18,72.22%,77.78%,0.840190502724195,0.840190502724195,1,1.20569869468412e-11
15,Cluster_12081,FUN_028416,ptg000021l:19606689-19655812;2 17;7255 7274,-12.41,15,73.33%,80.00%,0.81147473236113,0.81147473236113,1,2.13345508641086e-10
16,Cluster_12081,FUN_028416,ptg000021l:19606689-19655812;2 17;33678 33695,-10.79,15,80.00%,80.00%,0.81147473236113,0.81147473236113,1,2.13345508641086e-10
17,Cluster_12081,FUN_028435,ptg000021l:19826994-19879816;2 15;51584 51603,-14.71,13,76.92%,84.62%,0.860011677542976,0.860011677542976,1,1.16810863541252e-12
18,Cluster_12081,FUN_028435,ptg000021l:19826994-19879816;2 13;41599 41619,-13.73,11,81.82%,90.91%,0.860011677542976,0.860011677542976,1,1.16810863541252e-12
19,Cluster_12081,FUN_028435,ptg000021l:19826994-19879816;2 15;20465 20488,-16.79,16,75.00%,81.25%,0.860011677542976,0.860011677542976,1,1.16810863541252e-12
20,Cluster_12081,FUN_028435,ptg000021l:19826994-19879816;2 15;7180 7200,-14.9,13,76.92%,84.62%,0.860011677542976,0.860011677542976,1,1.16810863541252e-12
21,Cluster_12081,FUN_034037,ptg000024l:4023391-4033523;2 17;3401 3420,-12.41,15,73.33%,80.00%,0.821402077470335,0.821402077470335,1,8.37345224171501e-11
22,Cluster_12081,FUN_042063,ptg000036l:109369-120540;2 9;2266 2286,-13.93,7,100.00%,100.00%,0.855798905019996,0.855798905019996,1,1.97435213417652e-12
